name	replicate	time	YBL103C	YKL112W	YDR216W	YMR280C	YER040W	YGR142W	YNL036W	YML123C	YHR136C	YDR171W	YCR021C	YGR043C	YHR018C	YAL054C	YFL014W	YOR348C	YDL170W	YBR054W	YCR010C	YDR384C	YER150W	YPL061W	YKR075C	YLR009W	YPL111W	YOR388C	YJL172W	YPL012W	YOR100C	YMR169C	YNR046W	YJR110W	YMR193W	YGL254W	YLR174W	YER002W	YDL018C	YIL136W	YGR183C	YER158C	YJR148W	YNR064C	YGR067C	YPL265W	YKR056W	YCL064C	YJL063C	YDL160C	YIL037C	YLR327C	YDL091C	YHR051W	YHL028W	YMR229C	YOR206W	YJR094C	YIL155C	YJL088W	YLL011W	YNR028W	YDR043C	YDR258C	YKL071W	YNL194C	YLR276C	YLR438W	YNL037C	YKR009C	YKL015W	YGL009C	YPR002W	YDR361C	YLL033W	YOR302W	YNL270C	YFR022W	YAL062W	YDR523C	YPL036W	YJL217W	YOR056C	YBL042C	YLR130C	YLR267W	YHR029C	YOL014W	YNR053C	YLR258W	YDR380W	YLL034C	YDL110C	YER067W	YLR178C	YGL229C	YOR032C	YHR216W	YJL153C	YKL040C	YHR087W	YKL062W
X9_5_d.0	58	0	9.295519972	11.10384301	7.792955633	5.727071894	8.799106761	11.15925836	12.34274012	14.02543687	12.72637464	11.40794757	8.177756714	7.625207013	11.50781139	9.052034239	11.59558638	7.259919106	8.344941588	8.392184976	7.052142448	12.17938486	9.145845842	14.11353423	10.18714796	12.52729857	13.2934881	5.348604271	12.67689874	12.08806827	5.223284397	7.042842922	12.21768941	9.691179437	9.433103352	9.441007844	6.342312309	11.823487	11.41432982	9.26766786	11.09353391	8.917070881	12.79178752	6.44880224	5.679011917	12.00468953	11.01522569	10.10530348	10.69611992	11.84582979	8.205123568	9.788063904	8.49366819	11.73229998	7.429382045	12.4597788	11.72326314	5.743414082	9.951059546	7.082206932	11.37500055	10.33898803	8.736836899	10.14094579	6.70831033	5.726479375	12.12875199	13.11815172	12.36596782	9.4143357	9.331410879	13.54501159	9.057729573	11.86705704	8.260170122	10.11972453	5.511023978	8.14412766	8.665973597	7.485687506	8.165431714	4.739185966	11.31196222	10.94152289	10.99776056	6.286605724	10.97102569	12.58661616	12.67422298	11.0337398	8.666422258	11.43327131	9.749096043	10.99647937	10.11626259	8.748626106	7.157949905	11.38768862	7.89100654	11.08189215	9.664425869	9.098320283
X9_5_d.10	58	10	9.230771294	10.90248072	8.499246237	6.731979064	8.933593303	11.51770246	13.16662593	13.73016084	12.19176985	13.54770404	9.382234163	7.969417827	11.65456974	9.488319783	13.1517469	11.3290592	8.83131008	9.553441894	7.219873829	11.92736313	10.51459448	14.26666554	10.61414873	11.16337596	14.1623197	5.782362536	12.82453314	10.92573506	6.065303815	7.877467453	11.55340402	10.14838721	9.667161454	8.91316352	6.609749776	10.90536715	11.65172585	11.11547991	12.14368651	9.599819244	13.60079901	6.357250331	5.725980932	13.60967396	8.857996539	11.58384601	10.68399058	11.91286659	8.477279601	11.58976966	9.160725222	12.1486708	9.528433694	12.12563622	10.47367494	5.618730514	11.34879646	6.97724915	8.845382387	10.45439217	10.01266787	12.09829202	6.530513994	8.294743915	10.90429229	13.52409426	12.56100056	9.918060485	9.191165535	13.58798704	9.811505522	11.25522069	7.610135319	8.977744549	5.465774872	8.284883714	9.16702138	6.851315789	7.999651534	4.849826142	10.01685814	9.809447976	10.25569597	8.509723427	11.18464888	12.38270553	9.644007815	13.09303923	8.862373254	10.32324466	11.44062697	13.27455735	11.70939574	9.866616858	6.682500826	11.61251568	7.906802906	11.16618507	12.57384604	11.00266865
X9_5_d.20	58	20	9.740596331	10.61593474	8.521118511	7.14543962	9.555467952	10.2986312	13.21105454	11.94804009	10.48552148	13.41651685	8.162029307	9.357770874	13.10286639	10.17229539	14.21691286	12.11104015	9.695753791	10.23682735	7.356360876	10.58906524	11.18675399	14.16802658	9.308723943	8.254658834	14.34560481	5.52072071	13.56604988	8.028838581	7.317462146	9.474856414	10.47341084	10.35655866	10.1305695	9.190558917	6.243665976	9.834055872	12.00407033	11.98049193	12.75484527	9.778733305	14.13030324	6.593432545	6.09656427	13.62140625	7.463228929	13.43500225	11.17807276	11.95244239	8.425330667	12.00175102	9.699251195	12.52230051	9.583652398	10.0169008	7.029263799	5.695829878	11.41916015	8.264365754	8.35421567	10.44917333	9.901587248	12.36583007	6.596026809	9.473278092	8.570774638	13.8453562	12.88672523	10.39768778	9.201954118	13.48096796	10.7085636	10.33844997	7.891467345	9.67743329	5.559483712	8.400194067	10.42319672	6.250928638	7.684581822	5.000554771	8.626351549	9.307656162	9.484327511	9.295888665	11.97701381	11.89441457	8.453495399	13.71076665	11.45407573	7.629626043	12.00720097	13.36972565	12.96492259	10.08645287	6.666257818	11.58797646	7.848890092	11.3371104	13.42614396	11.07138456
X9_5_d.30	58	30	9.895540528	10.34700538	8.040408414	7.009145199	10.02816868	9.196074613	13.13766518	12.35100172	10.51012738	12.75455628	7.631532052	10.13186962	13.87131117	10.24091077	14.48958085	11.88667006	10.32540523	9.96645252	7.06933764	9.970530328	10.87419552	14.06188014	9.317980033	8.573276381	14.42660251	5.396327803	14.07302882	7.621360012	7.639789266	9.890199926	10.34462343	10.47810882	10.09920686	9.342087408	6.377867124	9.781055577	12.04488539	11.69663218	12.77907861	9.793148134	14.27920342	7.078915782	6.278691239	13.5695131	7.643966879	13.64768367	11.21102224	11.83711342	8.908407544	11.41776021	9.776679839	12.62218534	9.326480339	8.135509454	7.382397311	5.710047578	11.2549407	8.740270141	8.444690114	10.18513623	10.09179089	12.13648567	6.624511364	9.019172941	8.746842999	13.85767434	12.9970315	10.52246513	9.296678071	13.31629043	11.14536389	9.99767183	8.065566446	10.8825333	5.445471586	8.541420829	11.04955255	6.166734684	7.700860784	4.805940761	8.470519798	9.421584777	9.927019355	9.284758315	12.82199256	11.45517331	8.452897489	13.55898245	12.36344312	7.644132965	11.80486522	13.09086607	13.28556226	9.969600429	6.554893055	11.58309896	7.738049385	11.35674236	13.15931697	11.16318761
X9_5_d.40	58	40	10.1297402	10.1558149	7.742033778	6.835308717	10.37357268	8.605581707	13.2357399	12.79024962	10.56306266	12.16330762	7.410262412	10.46002501	14.17705614	10.09146812	14.57830729	11.38546193	10.94218462	9.298386491	6.964440214	9.868374498	10.38457181	13.89578024	9.316387327	8.758022611	14.52530882	5.353247248	14.41077002	7.841711135	7.95769663	9.783205595	10.34649553	10.70450776	9.925883962	9.30808034	6.496914952	9.825169819	12.03176084	11.55374841	12.61910532	9.806169961	14.43083324	7.086993556	6.519270188	13.50640157	7.814222531	13.8025474	11.10317082	11.74548203	9.127560984	10.74115051	9.955487242	12.63100256	9.078464878	7.875104756	7.569414376	5.758055389	11.12909817	9.199644487	8.293691321	9.83644454	10.23189285	12.03321325	6.673626271	8.513662045	9.091636805	13.73352856	12.97633547	10.58095071	9.149786811	13.10788009	11.18211197	9.873687912	8.05817923	11.91948791	5.750904421	8.677859053	11.55508349	6.002528537	7.792248206	4.830559798	8.389951737	9.812746399	10.37096907	9.361216702	13.37763018	11.14185016	8.352315113	13.33324078	12.64027811	7.687957902	11.65828027	12.78042665	13.27963792	9.81252426	7.006695382	11.56472128	7.621438006	11.41624874	12.66891359	11.2339871
X9_5_d.50	58	50	10.3195603	10.12425925	7.732546468	6.942357147	10.70208125	8.397355047	13.31069476	13.0747743	10.4987426	12.06197857	7.316998252	10.68277283	14.29450031	10.14460811	14.56174422	10.95474464	11.20510077	9.162366695	6.806463437	9.914745597	10.1105061	13.84321803	9.371701834	8.496468462	14.57986847	5.385235489	14.46690886	7.557227515	8.202617325	9.177075058	10.33636486	10.79828426	9.643079744	9.17878126	6.683602802	9.527472492	12.0221955	11.36917053	12.82813717	9.861517456	14.39364649	7.388044579	6.581475837	13.6021371	8.077920543	13.83426971	10.9027609	11.66634263	9.291767236	10.7479541	9.951202159	12.67146308	8.900387452	7.988523509	7.553994212	5.643406718	11.20020848	9.551774907	8.050216147	9.63090272	10.5022803	12.18321246	6.976830212	8.329130482	9.413836192	13.70267471	12.8340988	10.49369716	9.244362755	12.85978195	11.2675713	9.783796322	8.186970089	12.60662153	6.235094387	8.793616581	11.96429729	6.169146807	7.975429209	4.701392767	8.329501143	10.19579849	10.45601925	9.634362147	13.78994837	10.89904737	7.993154811	13.23066035	12.69220087	7.524338269	11.63140858	12.68130684	13.24512168	9.710503863	6.991053361	11.48703612	7.620618687	11.43088022	12.31760728	11.41948092
X8_1_a.0	59	0	9.898166942	10.92521573	10.38916285	6.367951673	9.01680168	11.46015826	12.76308696	14.1912131	12.3501369	11.47919831	8.283913806	7.906708139	10.26477278	9.341784351	10.07717824	6.380140226	8.394778277	11.22927781	7.410530137	11.13121286	8.004564764	14.07702482	10.64256497	12.63784101	12.96363731	6.495531312	11.43284861	12.08296029	6.56542334	6.662070145	11.99200777	10.17311969	9.391154902	8.63287057	7.033513877	11.47531896	10.82732112	8.982172102	12.20486397	9.311924731	12.51428974	5.979658943	5.686012823	12.55884179	10.81225981	12.61659743	10.55436245	11.69215091	5.846080353	9.787019408	8.334044523	12.1217665	6.466572535	12.57305732	11.56890822	7.310052112	10.01406598	7.411588782	11.42159113	9.882238083	9.076999964	10.77008795	7.269071086	6.767639636	11.57810289	11.85678333	12.40432716	9.168519839	9.750762236	13.41406684	11.3157486	11.59524457	8.719275597	9.23092579	5.278620929	8.137201735	6.79041096	7.512080268	8.454891722	12.34182458	11.00395545	12.16915072	10.82552103	8.290220558	9.990026925	11.98350193	12.62012819	9.163130254	11.59370062	11.39597007	10.1558416	9.800433612	9.765188051	8.264367597	7.25794057	11.22909668	7.547448392	11.21731199	10.07820963	7.37047844
X8_1_a.10	59	10	9.967866074	10.92497331	10.99235403	7.559309356	9.186297816	11.46431445	13.17141613	13.95340495	12.34209153	13.07404714	9.341861975	8.22428277	10.7050471	9.763885401	10.20973285	11.30933522	8.829606511	11.89481327	7.678666954	10.80417181	8.463409874	14.17801537	10.73513557	11.22507719	13.94981058	6.929838402	11.7682253	11.08709043	7.449978298	7.01784596	11.63591305	10.5526491	9.320785777	8.472842364	7.226221455	10.6660215	11.08599452	9.934881971	12.20483015	9.525628586	13.38555452	6.399991158	5.701433601	13.78599456	9.25215311	12.99930693	10.7261024	11.84620071	5.902854275	10.75599156	9.184770089	12.31939203	8.582203201	11.99907579	10.43395173	7.528044505	10.84196724	7.151786582	9.244910499	9.821374727	10.43516002	11.82000712	7.717842165	7.050337993	10.14221483	12.40386645	12.65746238	9.362577029	9.713299883	13.39622306	12.11148332	10.93086664	8.262333831	8.976945674	5.491848121	8.105376819	7.470558523	7.038749316	8.230307377	12.48378161	10.00447133	11.18598855	10.34903413	10.88621971	10.00171781	11.78487884	10.04619309	11.44437376	12.11904802	10.59825864	11.3920567	11.71036732	10.30901525	8.996180261	7.179826754	10.99596955	7.511312049	11.36544175	11.65253478	8.27564626
X8_1_a.20	59	20	10.00831515	10.7495406	10.79315111	7.727727366	9.492397373	10.64780885	13.22935704	12.93510135	10.7521606	12.53794339	8.588275931	8.862002389	11.5075006	10.44224947	10.60041323	11.85005019	9.216589422	12.55971184	7.607569834	9.984806364	8.916858932	14.03451212	9.969500358	8.882640993	14.08624954	6.871684853	13.03067103	8.755893058	8.989370424	6.997922507	10.93257169	10.5639683	9.527967423	8.812324594	7.303214173	9.935361133	11.46338291	10.18311782	12.50632766	9.426853219	14.06727585	6.562212859	5.916570902	13.8717263	7.985247819	13.6837801	10.96762806	11.8345064	5.926602697	10.1867029	9.373275972	12.62889287	8.654110126	10.37517538	7.955243763	6.978299525	10.47688547	7.182205895	8.950953708	9.69832415	9.986657371	11.61636714	7.900134741	7.334020706	8.195056395	13.04661645	13.07459174	9.759572232	9.404562884	13.4137675	13.17309558	10.30177299	8.462000672	8.54187764	5.462512375	8.366138398	8.264029709	6.637670051	8.060435166	12.79620938	9.257670582	9.729782661	9.956196339	11.35820342	10.71830478	11.28565204	8.76583374	11.93245682	13.04748932	8.952586953	11.72491897	10.65976828	11.02464804	8.867702007	7.025162957	11.25354184	7.251604776	11.65307919	11.69635575	8.831130506
X8_1_a.30	59	30	10.08460834	10.63206043	10.22886588	7.890167728	9.657080293	10.03801857	13.22285668	12.80866613	10.14107983	12.0212551	8.149983428	9.259804467	12.4429835	10.66964891	10.72628267	11.17166891	9.630166543	12.58436547	7.598508928	9.44982731	8.727205115	13.98486689	10.20645633	9.268170221	14.10754552	6.857370158	13.81941331	9.067209735	9.546771435	6.903302333	10.9277626	10.56360554	9.726072298	8.7600397	7.644828603	10.17920849	11.44349468	10.20358754	12.58470402	9.425545021	14.21847662	6.909693934	6.236507279	13.93299567	8.263676538	13.7519622	10.941116	11.8475316	5.594968517	10.57234233	9.538312953	12.64913501	8.4103207	9.155614684	8.202376002	6.625886979	10.49294522	7.714319538	9.206746033	9.423119983	10.17423392	11.46200148	7.753788649	7.423850891	8.529472616	12.86967777	13.35447478	9.885029114	9.382948574	13.30646229	13.54112485	10.10960596	8.391729701	9.20611339	5.240310549	8.26442797	9.042284884	6.881720415	7.799279126	13.23541917	9.211353174	9.449289375	10.21630774	11.12701207	11.37964141	10.90209749	8.916030875	11.49320003	13.16117072	9.018136307	11.61041732	10.27229569	11.27978734	8.777931719	7.062991132	11.43921994	7.360568902	11.81185856	11.13117947	9.070125441
